id,category,question,target_emotion,neutral_response,emotional_response,emotion_used_emotional
12,friendship,Ron hasn't spoken to me for three days. What should I do?,sad,I don't know. I don't think you should be talking to him. He's been mean to you. You've been mean to him. I think you should just ignore him. Don't talk to him. Don't look at him. He's just angry. He's just jealous.  You don't even know him.  You've never met him. You don't even know what he looks like.  I don't think he's going to be any good for you.,"You should just keep on keeping on. You'll be back in no time. We'll do something to cheer you up.  Just don't worry.  You're not going to be in the Chamber of Secrets, are you?  It's just you and Dumbledore.  They're both asleep.  And you're both awake.  You'll be okay.  You'll see.  You'll see.  You'll see.  You'll see.  You'll see.",sad
13,friendship,Harry said he wants to face Voldemort alone.,worried/determined,"He wants to face Voldemort alone? You're crazy, Harry. You've got to have someone by your side. Someone you trust. Someone who can help you. Someone like me. Someone like you.  I'll be there with you.  We'll face him together.  We'll face him together.  We'll face him together.  It's not going to be easy, Harry. It's going to be dangerous. But we can do it. We can beat him. We","He's not thinking straight, Harry. We're all scared.  Voldemort's been after us for a long time. He's dangerous.  Don't be foolish.  You'll never beat him on your own.  You need to get the whole school on your side.  You need to get all the teachers on your side.  You need to get the headmaster on your side.  And you need to get the headmaster on your side.  You need to get all",worried
14,friendship,Ron made fun of my hair again at breakfast.,angry/sad,"You know, you're lucky you didn't grow up in the Dark Lord's time. Then, people would have killed you for having hair like that.  We wouldn't be allowed to go to Hogwarts.  And, you wouldn't be here.  You'd be dead.  But, now, we are.  We are safe.  We are alive.  And, Harry's hair, and Ron's hair, and Hermione's hair, we're all safe.  We're","Ron, you can't expect to get away with it.  I can see he's furious.  I think we should apologize.  Please.  We owe him.  He's been a great friend to us.  We can't let him go.  You know that.  You can't expect him to forgive us.  You can't expect him to forget.  You can't expect him to be nice to us again.  You can't expect him to be our friend",angry
15,friendship,Neville lost his toad Trevor again.,neutral/worried,"What? No, I didn't! I wasn't. I wasn't. I wasn't. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was in the bathroom. I was","I think I've got him.  He's been sitting in the Slytherin Common room.  I saw him just now.  He was reading a book.  I think he's back in his toad's pouch.  I'll go and get him.  See you around.  And please, stop using the toad.  It's disgusting.  I know it's hard.  But we can't have you.  We'll go and get a new one.",neutral
16,friendship,Ginny told me a secret but I want to tell Harry.,worried,"You can't tell Harry. He'll know. But I'll tell him.  I'll tell him everything.  But not just everything.  I'll tell him what I know, too.  I'll tell him what I know about you.  And about Ron.  And about... Everything.  It's too much.  I can't tell him.  I can't say it.  I can't say anything.  I can't.  But I'll tell him","You know, I've been thinking. We've been through so much. We've saved so many lives. It's time to leave. We're getting old. We need to start a new life. Maybe somewhere far away. Somewhere safe. Maybe in a world where people like us don't exist.  Where we can be ourselves. Where we can be happy. Where we can be free.  Where we can be friends.  Where we can be lovers.  Where we can be...",worried
17,friendship,Ron just said 'you're scary when you're angry.',angry/happy,"I'm not, I'm just being honest.  You were too scared to be a Gryffindor, Harry.  You couldn't handle it.  You're not brave enough.  You're just a coward.  You're just afraid.  It's not a Gryffindor.  It's a Slytherin.  It's just Slytherin.  It's not Gryffindor.  It's a Slytherin.  It's just Sly",I'm not angry. I'm just...mad. I don't want to see this! I can't stand it! I can't...I can't...I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't... I can't,angry
18,friendship,Everyone laughed when I raised my hand in class.,sad,"I said, 'I think it's a rat.' I was only joking, but the teacher didn't take kindly to it. It was a bit embarrassing.  He said that he'd let me know if I got it wrong again.  But I never got it wrong again.  I didn't even think about it for a while.  You know, I'm not the most imaginative person.  I don't really have a lot of ideas.  I'm more of a planner.","Harry, stop.  Stop.  I've got something to tell you.  Please, Harry, don't laugh.  I'm sorry.  I'm sorry.  I just can't.  It's too painful.  Please, Harry, don't laugh.  Please, Harry.  Please.  It's too painful.  Please.  Please.  Please.  Please.  Please.  Please.  Please.  Please.  Please.  Please.",sad
19,friendship,Harry got the new Firebolt broomstick!,worried,"It's not like you can do anything with it.  It's not going to do any good.  You're better off with your old one.  Besides, it's the only one they have.  It's not fair.  It's not fair.  I don't know why they made it.  It's not like it's going to help you.  You're better off with your old one.  Besides, it's the only one they have.  It's","Harry! What's wrong?  Where's your broomstick?  We have to go!  Where are you?  Where's your wand?  Where's your robes?  We're all going to be in trouble!  Come on, Harry! Come on!  Come on!  Where are you?  Where are you?  Where are you?  Where are you?  Where are you?  Where are you?  Where are you?  Where are you?",worried
20,friendship,I think Ron likes Lavender more than me.,sad,"I don't think so.  I think Ron likes you more than Lavender.  You see, Ron and I have been friends for a long time.  We've been friends since we were in our first year at Hogwarts.  We've always been there for each other.  I think Ron likes you more than Lavender, but that doesn't mean he doesn't like you.  I think he likes you a lot.  Ron's always been the one to stand up for you","Ron and Lavender, Ron and Lavender, Ron and Lavender... I don't know what Ron would do without Lavender. I don't know what Ron would do without you.  Lavender, you're gone.  We'll be okay.  I'll always love you.  You'll always be my best friend.  I'll always love you.  Lavender... I'll always love you.  I'll always love you.  I'll always love you",sad
21,moral dilemma,House-elves say they enjoy serving wizards. Should we still free them?,determined/angry,I think it's the right thing to do. They deserve it.  It's a long time coming.  But I wouldn't be surprised if they don't like us any less.  Just because they're free doesn't mean they'll like us any more.  They're still house-elves.  They're not human.  They're not like us.  We're not like them.  We're just different.  That's all.  It's not personal.,I think we should. The Ministry of Magic has made it clear that it won't be coming for us. We're on our own now.  But I don't think we'll be safe. We'll need someone to watch over us. Someone who can defend us. Someone who's got our backs.  Who'd you choose?  You.  Who'd you choose?  I'd choose you.  I'd choose you.  And so I'd like you to be my guardian,determined
22,moral dilemma,Is it ever acceptable to break a school rule?,worried/determined,"It depends.  In some cases, the rule may be so ridiculous it's almost worth it.  But usually, you shouldn't.  And if you do, you might end up in detention.  Not fun.  But you know what's worse?  Getting hurt.  And being unable to do anything about it.  You wouldn't want to be in that position, would you?  Well, that's why we're here, to make sure that doesn't happen.",No. You shouldn't break a school rule. But you should know it's OK to bend them. Sometimes. Especially when the consequences could be death. Especially when it's for the greater good. Especially when it's the only way to save the world.  It's not always okay. But it's always the right thing to do.  And Dumbledore always knew that.  And so did Harry.  And so will you.  And so will Sirius.  And so will everyone else,worried
23,moral dilemma,Would you use an Unforgivable Curse to save a friend?,worried,"I wouldn't.  But... you might.  It's up to you.  You'd be brave, wouldn't you?  You'd be...  It's up to you.  You'd be...  It's up to you.  You'd be...  It's up to you.  You'd be...  You'd be...  It's up to you.  You'd be...  It's up to you.  You'd be...  It's",You'd better.  Ron.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd better.  You'd,worried
24,moral dilemma,Snape has been unfair to Harry all year. Should we report him?,angry/worried,"Yes, but be careful.  He's a dangerous man.  Remember, he was expelled from Hogwarts for trying to kill Dumbledore.  He's a bitter, angry man.  Don't go near him.  His favorite saying is, 'Blood runs in my veins.'  And he hates you.  He hates you.  Don't go near him.  Please.  Please.  Don't go near him.  Please.  Please.  Please.  Please.","No. We can't do that. It's against school rules. We can only talk to him in private. And he'll be furious. And he'll get angry at us. And we'll get into trouble. It's too dangerous. We'll be expelled.  We can't do it.  I know, I know. But we have to.  We're the only ones who can.  Harry's in danger.  We've got to help him.  It's the",angry
25,moral dilemma,A student is being bullied but asks you not to tell anyone.,worried,"It's a good idea. I'll tell no one. You don't want to get in trouble, do you?  I mean, who would believe you?  You're just a student.  You can't do anything.  It's not your fault.  It's not anyone's fault.  It's just, well...just...it's just a dream.  You don't want to tell anyone, do you?  Because if they find out, they'll think you",I'm sorry. You can't tell anyone.  You'd be in trouble.  You know that.  I know that.  But I can't tell anyone.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.  I can't.,worried
26,moral dilemma,Malfoy called Hermione a mudblood.,angry/sad,"What's a mudblood?  I've never heard of one.  I suppose it's a term for someone who's half-blood?  I've heard of half-bloods.  But I've never heard of mudbloods.  What's that?  Didn't you hear what I said?  It's a term for someone who's half-blood.  No, I didn't.  I was too busy watching the Patronus.  But I do know","That's enough, Malfoy. You've gone too far.  I've had enough.  I'm going.  Good night.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.  Goodnight.",angry
27,moral dilemma,Dumbledore tells you to do something you think is wrong.,worried,"Harry, I'm not sure I understand. What exactly are you supposed to do?  It's not like we can't just walk out.  And if we can't, what's the point of telling us?  No one's going to listen.  We're just a bunch of kids.  It's not like we're going to do anything.  We're just going to sit here.  And wait.  Until Dumbledore says we're supposed to do something.  Which we","I don't know what to do, I don't know what to do.  You don't know what to do, either.  What do you think you're going to do?  Just sit here and watch?  I've got to go.  You've got to go.  I've got to go.  And we're going to come back here tomorrow and see what we've done.  We're going to come back tomorrow and see what we've done.  And",worried
28,moral dilemma,You found an old spellbook with dark magic. Read it for research?,worried/determined,"I didn't read it. I just... I looked at it. I didn't touch it. I didn't touch it. I mean, I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I looked at it. I mean I","Harry, it's dangerous. We need to get rid of it. I'll go.  We'll go now.  The headmaster will be here soon.  We don't want to get caught.  I'll take the book.  Be careful.  Be careful.  Be careful.  Don't touch it.  Don't touch it.  Don't touch it.  Don't touch it.  Don't touch it.  Don't touch it.  Don't",worried
29,moral dilemma,Your friend cheated on a test and got top marks.,angry,Yes.  It's not just the top mark.  It's also the fact that you didn't cheat.  And that you're a good friend.  That's what I mean.  It's all in the mind.  It's all in the mind.  And you can change it.  You can change it.  It's all in the mind.  It's all in the mind.  It's all in the mind.  It's all in the mind.,"What? Who said that?  Ron, why would you say something like that?  I'd never say it.  You know I wouldn't.  I don't even know who said it.  I mean, I don't even know who's here.  I've never heard anyone say anything like that.  I mean, I don't even know who's here.  I mean, I don't even know who's here.  It's all just a load of rubbish",angry
30,moral dilemma,"If you could turn back time to fix one mistake, would you?",neutral/sad,"No.  It would be impossible to change one thing without changing everything else.  Plus, you've got to be careful what you wish for.  You might not like the result.  You might not like yourself.  You might even change into another person.  And that could be a lot worse than the original mistake.  So, no.  I wouldn't.  You'd be crazy to try.  But, seriously, if you could turn back time, what would you","I would go back and change something in my own life. But I'm not sure if I'd go back and change something in someone else's life. I mean, if you could change one thing in someone else's life, would you?  I'm not sure that's really possible. I mean, it's not like you can just change someone's mind. But I think it would be a good idea to be honest with yourself, and to think about the things you really want.",neutral
